state,move,class
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e6,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,1
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,1
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,b1c3,1
rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,g1f3,1
rnbqk1nr/pp3ppp/2p1p3/3p4/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 5,f1d3,1
rnbqk1nr/pp3ppp/2p1p3/8/1b1Pp3/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,d3e4,1
rnbqk2r/pp3ppp/2p1pn2/8/1b1PB3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 1 7,d1e2,1
rnbqk2r/pp3ppp/2p1p3/8/1b1Pn3/2N2N2/PPP1QPPP/R1B1K2R w KQkq - 0 8,e2e4,1
rnbq1rk1/pp3ppp/2p1p3/8/1b1PQ3/2N2N2/PPP2PPP/R1B1K2R w KQ - 1 9,e1g1,1
r1bq1rk1/pp1n1ppp/2p1p3/8/1b1PQ3/2N2N2/PPP2PPP/R1B2RK1 w - - 3 10,f1d1,1
r1b2rk1/pp1n1ppp/2p1p3/q7/1b1PQ3/2N2N2/PPP2PPP/R1BR2K1 w - - 5 11,c3e2,1
r1b2rk1/pp1n1ppp/2p1p3/3q4/1b1PQ3/5N2/PPP1NPPP/R1BR2K1 w - - 7 12,e4d3,1
r1b2rk1/pp1n1ppp/2p1p3/5q2/1b1P4/3Q1N2/PPP1NPPP/R1BR2K1 w - - 9 13,c1f4,1
r1b2rk1/pp1n1ppp/2p1p3/8/1b1P1B2/3q1N2/PPP1NPPP/R2R2K1 w - - 0 14,d1d3,1
r1b2rk1/p2n1ppp/1pp1p3/8/1b1P1B2/3R1N2/PPP1NPPP/R5K1 w - - 0 15,a2a3,1
r1b2rk1/p2nbppp/1pp1p3/8/3P1B2/P2R1N2/1PP1NPPP/R5K1 w - - 1 16,f3e5,1
r1b2rk1/p3bppp/1pp1p3/4n3/3P1B2/P2R4/1PP1NPPP/R5K1 w - - 0 17,d4e5,1
r1b2rk1/p3bppp/1p2p3/2p1P3/5B2/P2R4/1PP1NPPP/R5K1 w - - 0 18,h2h3,1
r1b1r1k1/p3bppp/1p2p3/2p1P3/5B2/P2R3P/1PP1NPP1/R5K1 w - - 1 19,e2c3,1
r3r1k1/pb2bppp/1p2p3/2p1P3/5B2/P1NR3P/1PP2PP1/R5K1 w - - 3 20,c3b5,1
r2r2k1/pb2bppp/1p2p3/1Np1P3/5B2/P2R3P/1PP2PP1/R5K1 w - - 5 21,d3d8,1
3r2k1/pb2bppp/1p2p3/1Np1P3/5B2/P6P/1PP2PP1/R5K1 w - - 0 22,b5a7,1
3r2k1/Nb2bp1p/1p2p3/2p1P1p1/5B2/P6P/1PP2PP1/R5K1 w - - 0 23,f4e3,1
3r2k1/Nb2b2p/1p2p3/2p1Ppp1/8/P3B2P/1PP2PP1/R5K1 w - f6 0 24,e5f6,1
3r2k1/Nb5p/1p2pb2/2p3p1/8/P3B2P/1PP2PP1/R5K1 w - - 0 25,a7b5,1
3r2k1/7p/1p2pb2/1Np3p1/4b3/P3B2P/1PP2PP1/R5K1 w - - 2 26,c2c3,1
3r2k1/7p/1p2pb2/1Np3p1/8/P1PbB2P/1P3PP1/R5K1 w - - 1 27,a3a4,1
3r2k1/7p/1p2pb2/1Np3p1/P1b5/2P1B2P/1P3PP1/R5K1 w - - 1 28,f2f3,1
3r2k1/8/1p2pb1p/1Np3p1/P1b5/2P1BP1P/1P4P1/R5K1 w - - 0 29,b5a3,1
3r2k1/8/1p2pb1p/2p3p1/P7/NbP1BP1P/1P4P1/R5K1 w - - 2 30,a3b5,1
3r2k1/8/1p2pb1p/1Np3p1/P1b5/2P1BP1P/1P4P1/R5K1 w - - 4 31,h3h4,1
3r2k1/8/1p2pb1p/1Np5/P1b4p/2P1BP2/1P4P1/R5K1 w - - 0 32,e3f4,1
3r2k1/8/1p2p2p/1Np3b1/P1b2B1p/2P2P2/1P4P1/R5K1 w - - 2 33,b5d6,1
3r2k1/8/1p1Np2p/2pb2b1/P4B1p/2P2P2/1P4P1/R5K1 w - - 4 34,f4e5,1
3r2k1/4b3/1p1Np2p/2pbB3/P6p/2P2P2/1P4P1/R5K1 w - - 6 35,d6e4,1
6k1/3rb3/1p2p2p/2pbB3/P3N2p/2P2P2/1P4P1/R5K1 w - - 8 36,e4f6,1
6k1/3r4/1p2pb1p/2pbB3/P6p/2P2P2/1P4P1/R5K1 w - - 0 37,e5f6,1
6k1/3r4/1p2pB1p/2pb4/P7/2P2P1p/1P4P1/R5K1 w - - 0 38,g2h3,1
6k1/3r4/1p2pB1p/2p5/P7/2P2b1P/1P6/R5K1 w - - 0 39,b2b4,1
6k1/3r4/1p2pB1p/8/Pp6/2P2b1P/8/R5K1 w - - 0 40,c3b4,1
6k1/8/1p2pB1p/8/PP6/3r1b1P/8/R5K1 w - - 1 41,g1h2,1
6k1/8/1p2pB1p/8/PP6/5b1P/3r3K/R7 w - - 3 42,h2g1,1
8/5k2/1p2pB1p/8/PP6/5b1P/3r4/R5K1 w - - 5 43,f6e5,1
8/5k2/1p2p2p/4B3/PP6/5b1P/6r1/R5K1 w - - 7 44,g1f1,1
8/5k2/1p2p2p/4B3/PP6/5b1P/2r5/R4K2 w - - 9 45,b4b5,1
8/5k2/1p2p2p/1P2B3/P1r5/5b1P/8/R4K2 w - - 1 46,e5g3,1
8/5k2/1p2p2p/1P6/P1r1b3/6BP/8/R4K2 w - - 3 47,f1e2,1
8/5k2/1p2p2p/1P6/P1r5/6BP/2b1K3/R7 w - - 5 48,a4a5,1
8/5k2/4p2p/pP6/2r5/6BP/2b1K3/R7 w - - 0 49,a1a5,1
8/5k2/4p2p/RP3b2/2r5/6BP/4K3/8 w - - 1 50,b5b6,1
8/5k2/1P2p2p/R4b2/1r6/6BP/4K3/8 w - - 1 51,a5a7,1
8/R7/1P2pk1p/5b2/1r6/6BP/4K3/8 w - - 3 52,g3c7,1
8/R1B5/1P2pk1p/8/1r2b3/7P/4K3/8 w - - 5 53,h3h4,1
8/R1B5/1P2pk1p/8/4b2P/1r6/4K3/8 w - - 1 54,e2d2,1
8/R1B1k3/1P2p2p/8/4b2P/1r6/3K4/8 w - - 3 55,a7a4,1
8/2B1k3/1P2p2p/8/R6P/1r3b2/3K4/8 w - - 5 56,d2c2,1
8/2B1k3/1P2p2p/1r6/R6P/5b2/2K5/8 w - - 7 57,c2d2,1
8/2B1k3/1P2p2p/1r1b4/R6P/8/3K4/8 w - - 9 58,a4g4,1
8/2B2k2/1P2p2p/1r1b4/6RP/8/3K4/8 w - - 11 59,g4g1,1
8/2B2k2/1P2p2p/3b4/1r5P/8/3K4/6R1 w - - 13 60,h4h5,1
8/2B2k2/1P2p2p/3b3P/3r4/8/3K4/6R1 w - - 1 61,d2e2,1
8/2B2k2/1P2p2p/3b3P/7r/8/4K3/6R1 w - - 3 62,g1b1,1
8/2B2k2/1P2p2p/3b3r/8/8/4K3/1R6 w - - 0 63,b6b7,1
8/1bB2k2/4p2p/7r/8/8/4K3/1R6 w - - 0 64,b1b7,1
8/1RB5/4p1kp/7r/8/8/4K3/8 w - - 1 65,b7b6,1
8/2B5/1R2pk1p/7r/8/8/4K3/8 w - - 3 66,c7f4,1
8/8/1R2pk1p/8/5B2/7r/4K3/8 w - - 5 67,b6b5,1
8/5k2/4p2p/1R6/5B2/7r/4K3/8 w - - 7 68,e2f2,1
8/8/4p1kp/1R6/5B2/7r/5K2/8 w - - 9 69,b5b8,1
1R6/8/4p1k1/7p/5B2/7r/5K2/8 w - - 0 70,b8b5,1
8/8/4p1k1/1R6/5B1p/7r/5K2/8 w - - 0 71,b5g5,1
8/8/4pk2/6R1/5B1p/7r/5K2/8 w - - 2 72,g5b5,1
