state,move,class
8/8/2n5/2P2p2/5p1B/6pK/5kP1/8 w - - 0 51,h4g5,0
8/8/2n5/2P2pB1/8/5ppK/5kP1/8 w - - 0 52,g5h4,0
8/8/2n5/2P2p2/7B/6pK/5kp1/8 w - - 0 53,h4g3,0
8/8/2n5/2P2p2/8/6BK/6p1/5k2 w - - 1 54,g3h2,0
8/8/8/2P1np2/8/7K/6pB/5k2 w - - 3 55,c5c6,0
8/8/2n5/5p2/8/7K/6pB/5k2 w - - 0 56,h3g3,0
8/8/8/4np2/8/6K1/6pB/5k2 w - - 2 57,g3f4,0
8/8/8/5p2/5Kn1/8/6pB/5k2 w - - 4 58,h2g1,0
8/8/8/5p2/5Kn1/8/6p1/6k1 w - - 0 59,f4f5,0
8/8/8/5K2/8/4n3/6p1/6k1 w - - 1 60,f5e4,0
8/8/8/8/4K3/4n3/5kp1/8 w - - 3 61,e4e5,0
8/8/8/4K3/8/4n3/5k2/6q1 w - - 0 62,e5d6,0
8/8/3K2q1/8/8/4n3/5k2/8 w - - 2 63,d6c5,0
8/8/q7/2K5/8/4n3/5k2/8 w - - 4 64,c5b4,0
8/8/8/8/1Kq5/4n3/5k2/8 w - - 6 65,b4a5,0
8/8/8/K7/2q5/4n3/6k1/8 w - - 8 66,a5b6,0
8/8/1K6/3n4/2q5/8/6k1/8 w - - 10 67,b6a5,0
8/8/8/K1qn4/8/8/6k1/8 w - - 12 68,a5a4,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e6,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d5,1
rnbqkbnr/ppp2ppp/4p3/3pP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,c7c5,1
rnbqkbnr/pp3ppp/4p3/2ppP3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 4,b8c6,1
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5,g8e7,1
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 2 6,c5d4,1
r1bqkb1r/pp2nppp/2n1p3/3pP3/3P4/3B1N2/PP3PPP/RNBQK2R b KQkq - 0 7,e7f5,1
r1bqkb1r/pp3ppp/2n1p3/3pPn2/3P4/5N2/PPB2PPP/RNBQK2R b KQkq - 2 8,d8b6,1
r1b1kb1r/pp3ppp/1qn1p3/3pPB2/3P4/5N2/PP3PPP/RNBQK2R b KQkq - 0 9,e6f5,1
r1b1kb1r/pp3ppp/1qn5/3pPp2/3P4/2N2N2/PP3PPP/R1BQK2R b KQkq - 1 10,c8e6,1
r3kb1r/pp3ppp/1qn1b3/3pPp2/3P4/2N2N2/PP3PPP/R1BQ1RK1 b kq - 3 11,h7h6,1
r3kb1r/pp3pp1/1qn1b2p/3pPp2/N2P4/5N2/PP3PPP/R1BQ1RK1 b kq - 1 12,b6a6,1
r3kb1r/pp3pp1/q1n1b2p/3pPp2/N2P4/8/PP3PPP/R1BQNRK1 b kq - 3 13,a8c8,1
2r1kb1r/pp3pp1/q1n1b2p/3pPp2/N2P4/1P6/P4PPP/R1BQNRK1 b k - 0 14,b7b5,1
2r1kb1r/p4pp1/q1n1b2p/1pNpPp2/3P4/1P6/P4PPP/R1BQNRK1 b k - 1 15,f8c5,1
2r1k2r/p4pp1/q1n1b2p/1pPpPp2/8/1P6/P4PPP/R1BQNRK1 b k - 0 16,e8g8,1
2r2rk1/p4pp1/q1n1b2p/1pPpPp2/8/1P6/P3QPPP/R1B1NRK1 b - - 2 17,d5d4,1
2r2rk1/p4pp1/q1n1b2p/1pP1Pp2/3p4/1P6/PB2QPPP/R3NRK1 b - - 1 18,f8d8,1
