{'state': 'rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3', 'move2': Move.from_uci('d5d4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3', 'move1': Move.from_uci('a2a4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4', 'move2': Move.from_uci('d4c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4', 'move1': Move.from_uci('b2b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5', 'move2': Move.from_uci('a7a5')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5', 'move1': Move.from_uci('d2d4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6', 'move2': Move.from_uci('a5b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p4P/2P1PPP1/1RBQKBNR b Kkq - 0 6', 'move1': Move.from_uci('h2h3')}
{'state': 'rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p4P/2P1PPP1/1RBQKBNR w Kkq - 0 7', 'move2': Move.from_uci('e7e5')}
{'state': 'rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p3PP/2P1PP2/1RBQKBNR b Kkq - 0 7', 'move1': Move.from_uci('g2g3')}
{'state': 'rnb1kbnr/1pp2ppp/8/3qp3/Pp1P4/2p3PP/2P1PP2/1RBQKBNR w Kkq - 1 8', 'move2': Move.from_uci('d8d5')}
{'state': 'rnb1kbnr/1pp2ppp/8/3qp3/Pp1P4/2p1P1PP/2P2P2/1RBQKBNR b Kkq - 0 8', 'move1': Move.from_uci('e2e3')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1P4/2p1P1PP/2P2P2/1RBQKBNq w kq - 0 9', 'move2': Move.from_uci('d5h1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1P1P2/2p1P1PP/2P5/1RBQKBNq b kq - 0 9', 'move1': Move.from_uci('f2f4')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1P1P2/2p1P1PP/2P5/1RBQKBq1 w kq - 0 10', 'move2': Move.from_uci('h1g1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3PP/2P5/1RBQKBq1 b kq - 0 10', 'move1': Move.from_uci('e3e4')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3Pb/2P5/1RBQKBq1 w kq - 0 11', 'move2': Move.from_uci('c8h3')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3Pb/2P1Q3/1RB1KBq1 b kq - 1 11', 'move1': Move.from_uci('d1e2')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3P1/2P1Q3/1RB1Kbq1 w kq - 0 12', 'move2': Move.from_uci('h3f1')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P1Q3/1RB1Kbq1 b kq - 0 12', 'move1': Move.from_uci('g3g4')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P1Q1b1/1RB1K1q1 w kq - 1 13', 'move2': Move.from_uci('f1g2')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P3b1/1RB1KQq1 b kq - 2 13', 'move1': Move.from_uci('e2f1')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P3b1/1RB1Kq2 w kq - 0 14', 'move2': Move.from_uci('g1f1')}
END OF GAME, AGENT 2 (Winner.BLACK) won{'state': 'rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1', 'move1': Move.from_uci('b1c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2', 'move2': Move.from_uci('d7d5')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2', 'move1': Move.from_uci('a1b1')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3', 'move2': Move.from_uci('d5d4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3', 'move1': Move.from_uci('a2a4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4', 'move2': Move.from_uci('d4c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4', 'move1': Move.from_uci('b2b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5', 'move2': Move.from_uci('a7a5')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5', 'move1': Move.from_uci('d2d4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6', 'move2': Move.from_uci('a5b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p4P/2P1PPP1/1RBQKBNR b Kkq - 0 6', 'move1': Move.from_uci('h2h3')}
{'state': 'rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p4P/2P1PPP1/1RBQKBNR w Kkq - 0 7', 'move2': Move.from_uci('e7e5')}
{'state': 'rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p3PP/2P1PP2/1RBQKBNR b Kkq - 0 7', 'move1': Move.from_uci('g2g3')}
{'state': 'rnb1kbnr/1pp2ppp/8/3qp3/Pp1P4/2p3PP/2P1PP2/1RBQKBNR w Kkq - 1 8', 'move2': Move.from_uci('d8d5')}
{'state': 'rnb1kbnr/1pp2ppp/8/3qp3/Pp1P4/2p1P1PP/2P2P2/1RBQKBNR b Kkq - 0 8', 'move1': Move.from_uci('e2e3')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1P4/2p1P1PP/2P2P2/1RBQKBNq w kq - 0 9', 'move2': Move.from_uci('d5h1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1P1P2/2p1P1PP/2P5/1RBQKBNq b kq - 0 9', 'move1': Move.from_uci('f2f4')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1P1P2/2p1P1PP/2P5/1RBQKBq1 w kq - 0 10', 'move2': Move.from_uci('h1g1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3PP/2P5/1RBQKBq1 b kq - 0 10', 'move1': Move.from_uci('e3e4')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3Pb/2P5/1RBQKBq1 w kq - 0 11', 'move2': Move.from_uci('c8h3')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3Pb/2P1Q3/1RB1KBq1 b kq - 1 11', 'move1': Move.from_uci('d1e2')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPP2/2p3P1/2P1Q3/1RB1Kbq1 w kq - 0 12', 'move2': Move.from_uci('h3f1')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P1Q3/1RB1Kbq1 b kq - 0 12', 'move1': Move.from_uci('g3g4')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P1Q1b1/1RB1K1q1 w kq - 1 13', 'move2': Move.from_uci('f1g2')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P3b1/1RB1KQq1 b kq - 2 13', 'move1': Move.from_uci('e2f1')}
{'state': 'rn2kbnr/1pp2ppp/8/4p3/Pp1PPPP1/2p5/2P3b1/1RB1Kq2 w kq - 0 14', 'move2': Move.from_uci('g1f1')}
END OF GAME, AGENT 2 (Winner.BLACK) won{'state': 'rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1', 'move1': Move.from_uci('b1c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2', 'move2': Move.from_uci('d7d5')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2', 'move1': Move.from_uci('a1b1')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3', 'move2': Move.from_uci('d5d4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3', 'move1': Move.from_uci('a2a4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4', 'move2': Move.from_uci('d4c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4', 'move1': Move.from_uci('b2b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5', 'move2': Move.from_uci('a7a5')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5', 'move1': Move.from_uci('d2d4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6', 'move2': Move.from_uci('a5b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p4P/2P1PPP1/1RBQKBNR b Kkq - 0 6', 'move1': Move.from_uci('h2h3')}
{'state': 'rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p4P/2P1PPP1/1RBQKBNR w Kkq - 0 7', 'move2': Move.from_uci('e7e5')}
{'state': 'rnbqkbnr/1pp2ppp/8/4p3/Pp1P4/2p3PP/2P1PP2/1RBQKBNR b Kkq - 0 7', 'move1': Move.from_uci('g2g3')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1q4/2p3PP/2P1PP2/1RBQKBNR w Kkq - 0 8', 'move2': Move.from_uci('d8d4')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp1qP3/2p3PP/2P2P2/1RBQKBNR b Kkq - 0 8', 'move1': Move.from_uci('e2e4')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp2q3/2p3PP/2P2P2/1RBQKBNR w Kkq - 0 9', 'move2': Move.from_uci('d4e4')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp2q3/2p1B1PP/2P2P2/1R1QKBNR b Kkq - 1 9', 'move1': Move.from_uci('c1e3')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp6/2p1B1PP/2P2P2/1R1QKBNq w kq - 0 10', 'move2': Move.from_uci('e4h1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp6/2p1B1PP/2P2P2/R2QKBNq b kq - 1 10', 'move1': Move.from_uci('b1a1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp6/2p1B1PP/2P2P2/R2QKBq1 w kq - 0 11', 'move2': Move.from_uci('h1g1')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp3P2/2p1B1PP/2P5/R2QKBq1 b kq - 0 11', 'move1': Move.from_uci('f2f4')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp3P2/2p1q1PP/2P5/R2QKB2 w kq - 0 12', 'move2': Move.from_uci('g1e3')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp3P2/2p1q1PP/2P1Q3/R3KB2 b kq - 1 12', 'move1': Move.from_uci('d1e2')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp3P2/2p3qP/2P1Q3/R3KB2 w kq - 0 13', 'move2': Move.from_uci('e3g3')}
{'state': 'rnb1kbnr/1pp2ppp/8/4p3/Pp3P2/2p3qP/2P2Q2/R3KB2 b kq - 1 13', 'move1': Move.from_uci('e2f2')}
{'state': 'rnb1kbnr/1pp2ppp/8/8/Pp3p2/2p3qP/2P2Q2/R3KB2 w kq - 0 14', 'move2': Move.from_uci('e5f4')}
{'state': 'rnb1kbnr/1pp2ppp/8/8/Pp3p1P/2p3q1/2P2Q2/R3KB2 b kq - 0 14', 'move1': Move.from_uci('h3h4')}
{'state': 'r1b1kbnr/1pp2ppp/2n5/8/Pp3p1P/2p3q1/2P2Q2/R3KB2 w kq - 1 15', 'move2': Move.from_uci('b8c6')}
{'state': 'r1b1kbnr/1pp2ppp/2n5/P7/1p3p1P/2p3q1/2P2Q2/R3KB2 b kq - 0 15', 'move1': Move.from_uci('a4a5')}
{'state': 'r1b1kbnr/1pp2ppp/8/P7/1p1n1p1P/2p3q1/2P2Q2/R3KB2 w kq - 1 16', 'move2': Move.from_uci('c6d4')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p1n1p2/2p3q1/2P2Q2/R3KB2 b kq - 0 16', 'move1': Move.from_uci('h4h5')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/2p3q1/2n2Q2/R3KB2 w kq - 0 17', 'move2': Move.from_uci('d4c2')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/2p3q1/2n2Q2/R2K1B2 b kq - 1 17', 'move1': Move.from_uci('e1d1')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/2p5/2n2q2/R2K1B2 w kq - 0 18', 'move2': Move.from_uci('g3f2')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/2p5/2n2q2/R1K2B2 b kq - 1 18', 'move1': Move.from_uci('d1c1')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/2p5/2nq4/R1K2B2 w kq - 2 19', 'move2': Move.from_uci('f2d2')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/2p5/2nq4/RK3B2 b kq - 3 19', 'move1': Move.from_uci('c1b1')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/n1p5/3q4/RK3B2 w kq - 4 20', 'move2': Move.from_uci('c2a3')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/R1p5/3q4/1K3B2 b kq - 0 20', 'move1': Move.from_uci('a1a3')}
{'state': 'r1b1kbnr/1pp2ppp/8/P6P/1p3p2/R1p5/1q6/1K3B2 w kq - 1 21', 'move2': Move.from_uci('d2b2')}
END OF GAME, AGENT 2 (Winner.BLACK) won{'state': 'rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1', 'move1': Move.from_uci('b1c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2', 'move2': Move.from_uci('d7d5')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2', 'move1': Move.from_uci('a1b1')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3', 'move2': Move.from_uci('d5d4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3', 'move1': Move.from_uci('a2a4')}
